X2,X4,X5,X6,adversaire,score_france,score_adversaire,penalty_france,penalty_adversaire,date,year,outcome,no
19 juin 1958,France - Irlande du Nord,4-0,Coupe du monde 1958 (Quart de finale),Irlande du Nord,4,0,NA,NA,1958-06-19,1958,win,6
24 juin 1958,Brésil - France,5-2,Coupe du monde 1958 (Demi-finale),Brésil,2,5,NA,NA,1958-06-24,1958,loss,7
28 juin 1958,France - RFA,6-3,Coupe du monde 1958 (Petite finale),RFA,6,3,NA,NA,1958-06-28,1958,win,8
1er octobre 1958,France - Grèce,7-1,Qualifications pour l'Euro 1960,Grèce,7,1,NA,NA,1958-10-01,1958,win,9
5 octobre 1958,Autriche - France,1-2,Match amical,Autriche,2,1,NA,NA,1958-10-05,1958,win,10
26 octobre 1958,France - RFA,2-2,Match amical,RFA,2,2,NA,NA,1958-10-26,1958,draw,11
9 novembre 1958,France - Italie,2-2,Match amical,Italie,2,2,NA,NA,1958-11-09,1958,draw,12
3 décembre 1958,Grèce - France,1-1,Qualifications pour l'Euro 1960,Grèce,1,1,NA,NA,1958-12-03,1958,draw,13
1er mars 1959,France - Belgique,2-2,Match amical,Belgique,2,2,NA,NA,1959-03-01,1959,draw,1
11 octobre 1959,Bulgarie - France,1-0,Match amical,Bulgarie,0,1,NA,NA,1959-10-11,1959,loss,2
11 novembre 1959,France - Portugal,5-3,Match amical,Portugal,5,3,NA,NA,1959-11-11,1959,win,3
13 décembre 1959,France - Autriche,5-2,Qualifications pour l'Euro 1960,Autriche,5,2,NA,NA,1959-12-13,1959,win,4
17 décembre 1959,France - Espagne,4-3,Match amical,Espagne,4,3,NA,NA,1959-12-17,1959,win,5
28 février 1960,Belgique - France,1-0,Match amical,Belgique,0,1,NA,NA,1960-02-28,1960,loss,1
16 mars 1960,France - Chili,6-0,Match amical,Chili,6,0,NA,NA,1960-03-16,1960,win,2
27 mars 1960,Autriche - France,2-4,Qualifications pour l'Euro 1960,Autriche,4,2,NA,NA,1960-03-27,1960,win,3
6 juillet 1960,France - Yougoslavie,4-5,Euro 1960 (Demi-finale)[84],Yougoslavie,4,5,NA,NA,1960-07-06,1960,loss,4
9 juillet 1960,France - Tchécoslovaquie,0-2,Euro 1960 (Petite finale),Tchécoslovaquie,0,2,NA,NA,1960-07-09,1960,loss,5
25 septembre 1960,Finlande - France,1-2,Qualifications pour la Coupe du monde 1962,Finlande,2,1,NA,NA,1960-09-25,1960,win,6
28 septembre 1960,Pologne - France,2-2,Match amical,Pologne,2,2,NA,NA,1960-09-28,1960,draw,7
12 octobre 1960,Suisse - France,6-2,Match amical,Suisse,2,6,NA,NA,1960-10-12,1960,loss,8
30 octobre 1960,Suède - France,1-0,Match amical,Suède,0,1,NA,NA,1960-10-30,1960,loss,9
11 décembre 1960,France - Bulgarie,3-0,Qualifications pour la Coupe du monde 1962,Bulgarie,3,0,NA,NA,1960-12-11,1960,win,10
15 mars 1961,France - Belgique,1-1,Match amical,Belgique,1,1,NA,NA,1961-03-15,1961,draw,1
2 avril 1961,Espagne - France,2-0,Match amical,Espagne,0,2,NA,NA,1961-04-02,1961,loss,2
28 septembre 1961,France - Finlande,5-1,Qualifications pour la Coupe du monde 1962,Finlande,5,1,NA,NA,1961-09-28,1961,win,3
18 octobre 1961,Belgique - France,3-0,Match amical,Belgique,0,3,NA,NA,1961-10-18,1961,loss,4
12 novembre 1961,Bulgarie - France,1-0,Qualifications pour la Coupe du monde 1962,Bulgarie,0,1,NA,NA,1961-11-12,1961,loss,5
10 décembre 1961,France - Espagne,1-1,Match amical,Espagne,1,1,NA,NA,1961-12-10,1961,draw,6
16 décembre 1961,Bulgarie - France,1-0,Qualifications pour la Coupe du monde 1962 (Barrage),Bulgarie,0,1,NA,NA,1961-12-16,1961,loss,7
11 avril 1962,France - Pologne,1-3,Match amical,Pologne,1,3,NA,NA,1962-04-11,1962,loss,1
5 mai 1962,Italie - France,2-1,Match amical,Italie,1,2,NA,NA,1962-05-05,1962,loss,2
20 octobre 1962,Angleterre - France,1-1,Qualifications pour l'Euro 1964,Angleterre,1,1,NA,NA,1962-10-20,1962,draw,3
24 octobre 1962,RFA - France,2-2,Match amical,RFA,2,2,NA,NA,1962-10-24,1962,draw,4
11 novembre 1962,France - Hongrie,2-3,Match amical,Hongrie,2,3,NA,NA,1962-11-11,1962,loss,5
9 janvier 1963,Espagne - France,0-0,Match amical,Espagne,0,0,NA,NA,1963-01-09,1963,draw,1
27 février 1963,France - Angleterre,5-2,Qualifications pour l'Euro 1964,Angleterre,5,2,NA,NA,1963-02-27,1963,win,2
17 avril 1963,Pays-Bas - France,1-0,Match amical,Pays-Bas,0,1,NA,NA,1963-04-17,1963,loss,3
28 avril 1963,France - Brésil,2-3,Match amical,Brésil,2,3,NA,NA,1963-04-28,1963,loss,4
29 septembre 1963,Bulgarie - France,1-0,Qualifications pour l'Euro 1964,Bulgarie,0,1,NA,NA,1963-09-29,1963,loss,5
26 octobre 1963,France - Bulgarie,3-1,Qualifications pour l'Euro 1964,Bulgarie,3,1,NA,NA,1963-10-26,1963,win,6
11 novembre 1963,France - Suisse,2-2,Match amical,Suisse,2,2,NA,NA,1963-11-11,1963,draw,7
25 décembre 1963,France - Belgique,1-2,Match amical,Belgique,1,2,NA,NA,1963-12-25,1963,loss,8
25 avril 1964,France - Hongrie,1-3,Qualifications pour l'Euro 1964,Hongrie,1,3,NA,NA,1964-04-25,1964,loss,1
23 mai 1964,Hongrie - France,2-1,Qualifications pour l'Euro 1964,Hongrie,1,2,NA,NA,1964-05-23,1964,loss,2
4 octobre 1964,Luxembourg - France,0-2,Qualifications pour la Coupe du monde 1966,Luxembourg,2,0,NA,NA,1964-10-04,1964,win,3
11 novembre 1964,France - Norvège,1-0,Qualifications pour la Coupe du monde 1966,Norvège,1,0,NA,NA,1964-11-11,1964,win,4
2 décembre 1964,Belgique - France,3-0,Match amical,Belgique,0,3,NA,NA,1964-12-02,1964,loss,5
24 mars 1965,France - Autriche,1-2,Match amical,Autriche,1,2,NA,NA,1965-03-24,1965,loss,1
18 avril 1965,Yougoslavie - France,1-0,Qualifications pour la Coupe du monde 1966,Yougoslavie,0,1,NA,NA,1965-04-18,1965,loss,2
3 juin 1965,France - Argentine,0-0,Match amical,Argentine,0,0,NA,NA,1965-06-03,1965,draw,3
15 septembre 1965,Norvège - France,0-1,Qualifications pour la Coupe du monde 1966,Norvège,1,0,NA,NA,1965-09-15,1965,win,4
9 octobre 1965,France - Yougoslavie,1-0,Qualifications pour la Coupe du monde 1966,Yougoslavie,1,0,NA,NA,1965-10-09,1965,win,5
6 novembre 1965,France - Luxembourg,4-1,Qualifications pour la Coupe du monde 1966,Luxembourg,4,1,NA,NA,1965-11-06,1965,win,6
19 mars 1966,France - Italie,0-0,Match amical,Italie,0,0,NA,NA,1966-03-19,1966,draw,1
20 avril 1966,France - Belgique,0-3,Match amical,Belgique,0,3,NA,NA,1966-04-20,1966,loss,2
6 juin 1966,URSS - France,3-3,Match amical,URSS,3,3,NA,NA,1966-06-06,1966,draw,3
13 juillet 1966,France - Mexique,1-1,Coupe du monde 1966 (Groupe A),Mexique,1,1,NA,NA,1966-07-13,1966,draw,4
15 juillet 1966,Uruguay - France,2-1,Coupe du monde 1966 (Groupe A),Uruguay,1,2,NA,NA,1966-07-15,1966,loss,5
20 juillet 1966,Angleterre - France,2-0,Coupe du monde 1966 (Groupe A),Angleterre,0,2,NA,NA,1966-07-20,1966,loss,6
28 septembre 1966,Hongrie - France,4-2,Match amical,Hongrie,2,4,NA,NA,1966-09-28,1966,loss,7
22 octobre 1966,France - Pologne,2-1,Qualifications pour l'Euro 1968,Pologne,2,1,NA,NA,1966-10-22,1966,win,8
11 novembre 1966,Belgique - France,2-1,Qualifications pour l'Euro 1968,Belgique,1,2,NA,NA,1966-11-11,1966,loss,9
26 novembre 1966,Luxembourg - France,0-3,Qualifications pour l'Euro 1968,Luxembourg,3,0,NA,NA,1966-11-26,1966,win,10
22 mars 1967,France - Roumanie,1-2,Match amical,Roumanie,1,2,NA,NA,1967-03-22,1967,loss,1
3 juin 1967,France - URSS,2-4,Match amical,URSS,2,4,NA,NA,1967-06-03,1967,loss,2
17 septembre 1967,Pologne - France,1-4,Qualifications pour l'Euro 1968,Pologne,4,1,NA,NA,1967-09-17,1967,win,3
27 septembre 1967,RFA - France,5-1,Match amical,RFA,1,5,NA,NA,1967-09-27,1967,loss,4
28 octobre 1967,France - Belgique,1-1,Qualifications pour l'Euro 1968,Belgique,1,1,NA,NA,1967-10-28,1967,draw,5
23 décembre 1967,France - Luxembourg,3-1,Qualifications pour l'Euro 1968,Luxembourg,3,1,NA,NA,1967-12-23,1967,win,6
6 avril 1968,France - Yougoslavie,1-1,Qualifications pour l'Euro 1968,Yougoslavie,1,1,NA,NA,1968-04-06,1968,draw,1
24 avril 1968,Yougoslavie - France,5-1,Qualifications pour l'Euro 1968,Yougoslavie,1,5,NA,NA,1968-04-24,1968,loss,2
25 septembre 1968,France - RFA,1-1,Match amical,RFA,1,1,NA,NA,1968-09-25,1968,draw,3
17 octobre 1968,France - Espagne,1-3,Match amical,Espagne,1,3,NA,NA,1968-10-17,1968,loss,4
6 novembre 1968,France - Norvège,0-1,Qualifications pour la Coupe du monde 1970,Norvège,0,1,NA,NA,1968-11-06,1968,loss,5
12 mars 1969,Angleterre - France,5-0,Match amical,Angleterre,0,5,NA,NA,1969-03-12,1969,loss,1
30 avril 1969,France - Roumanie,1-0,Match amical,Roumanie,1,0,NA,NA,1969-04-30,1969,win,2
10 septembre 1969,Norvège - France,1-3,Qualifications pour la Coupe du monde 1970,Norvège,3,1,NA,NA,1969-09-10,1969,win,3
15 octobre 1969,Suède - France,2-0,Qualifications pour la Coupe du monde 1970,Suède,0,2,NA,NA,1969-10-15,1969,loss,4
1er novembre 1969,France - Suède,3-0,Qualifications pour la Coupe du monde 1970,Suède,3,0,NA,NA,1969-11-01,1969,win,5
8 avril 1970,France - Bulgarie,1-1,Match amical,Bulgarie,1,1,NA,NA,1970-04-08,1970,draw,1
28 avril 1970,France - Roumanie,2-0,Match amical,Roumanie,2,0,NA,NA,1970-04-28,1970,win,2
3 mai 1970,Suisse - France,2-1,Match amical,Suisse,1,2,NA,NA,1970-05-03,1970,loss,3
5 septembre 1970,France - Tchécoslovaquie,3-0,Match amical,Tchécoslovaquie,3,0,NA,NA,1970-09-05,1970,win,4
7 octobre 1970,Autriche - France,1-0,Match amical,Autriche,0,1,NA,NA,1970-10-07,1970,loss,5
11 novembre 1970,France - Norvège,3-1,Qualifications pour l'Euro 1972,Norvège,3,1,NA,NA,1970-11-11,1970,win,6
15 novembre 1970,Belgique - France,1-2,Match amical,Belgique,2,1,NA,NA,1970-11-15,1970,win,7
8 janvier 1971,Argentine - France,3-4,Match amical,Argentine,4,3,NA,NA,1971-01-08,1971,win,1
12 janvier 1971,Argentine - France,2-0,Match amical,Argentine,0,2,NA,NA,1971-01-12,1971,loss,2
17 mars 1971,Espagne - France,2-2,Match amical,Espagne,2,2,NA,NA,1971-03-17,1971,draw,3
24 avril 1971,Hongrie - France,1-1,Qualifications pour l'Euro 1972,Hongrie,1,1,NA,NA,1971-04-24,1971,draw,4
8 septembre 1971,Norvège - France,1-3,Qualifications pour l'Euro 1972,Norvège,3,1,NA,NA,1971-09-08,1971,win,5
9 octobre 1971,France - Hongrie,0-2,Qualifications pour l'Euro 1972,Hongrie,0,2,NA,NA,1971-10-09,1971,loss,6
10 novembre 1971,France - Bulgarie,2-1,Qualifications pour l'Euro 1972,Bulgarie,2,1,NA,NA,1971-11-10,1971,win,7
4 décembre 1971,Bulgarie - France,2-1,Qualifications pour l'Euro 1972,Bulgarie,1,2,NA,NA,1971-12-04,1971,loss,8
8 avril 1972,Roumanie - France,2-0,Match amical,Roumanie,0,2,NA,NA,1972-04-08,1972,loss,1
11 juin 1972,France - CONCACAF,5-0,Coupe de l'Indépendance du Brésil,CONCACAF,5,0,NA,NA,1972-06-11,1972,win,2
15 juin 1972,France - Afrique,2-0,Coupe de l'Indépendance du Brésil,Afrique,2,0,NA,NA,1972-06-15,1972,win,3
18 juin 1972,France - Colombie,3-2,Coupe de l'Indépendance du Brésil,Colombie,3,2,NA,NA,1972-06-18,1972,win,4
25 juin 1972,Argentine - France,0-0,Coupe de l'Indépendance du Brésil,Argentine,0,0,NA,NA,1972-06-25,1972,draw,5
2 septembre 1972,Grèce - France,1-3,Match amical,Grèce,3,1,NA,NA,1972-09-02,1972,win,6
13 octobre 1972,France - URSS,1-0,Qualifications pour la Coupe du monde 1974,URSS,1,0,NA,NA,1972-10-13,1972,win,7
15 novembre 1972,Irlande - France,2-1,Qualifications pour la Coupe du monde 1974,Irlande,1,2,NA,NA,1972-11-15,1972,loss,8
3 mars 1973,France - Portugal,1-2,Match amical,Portugal,1,2,NA,NA,1973-03-03,1973,loss,1
19 mai 1973,France - Irlande,1-1,Qualifications pour la Coupe du monde 1974,Irlande,1,1,NA,NA,1973-05-19,1973,draw,2
26 mai 1973,URSS- France,2-0,Qualifications pour la Coupe du monde 1974,URSS- France,0,2,NA,NA,1973-05-26,1973,loss,3
8 septembre 1973,France - Grèce,3-1,Match amical,Grèce,3,1,NA,NA,1973-09-08,1973,win,4
13 octobre 1973,RFA - France,2-1,Match amical,RFA,1,2,NA,NA,1973-10-13,1973,loss,5
21 novembre 1973,France - Danemark,3-0,Match amical,Danemark,3,0,NA,NA,1973-11-21,1973,win,6
23 mars 1974,France - Roumanie,1-0,Match amical,Roumanie,1,0,NA,NA,1974-03-23,1974,win,1
27 avril 1974,Tchécoslovaquie - France,3-3,Match amical,Tchécoslovaquie,3,3,NA,NA,1974-04-27,1974,draw,2
18 mai 1974,France - Argentine,0-1,Match amical,Argentine,0,1,NA,NA,1974-05-18,1974,loss,3
7 septembre 1974,Pologne - France,0-2,Match amical,Pologne,2,0,NA,NA,1974-09-07,1974,win,4
12 octobre 1974,Belgique - France,2-1,Qualifications pour l'Euro 1976,Belgique,1,2,NA,NA,1974-10-12,1974,loss,5
16 novembre 1974,France - RDA,2-2,Qualifications pour l'Euro 1976,RDA,2,2,NA,NA,1974-11-16,1974,draw,6
26 mars 1975,France - Hongrie,2-0,Match amical,Hongrie,2,0,NA,NA,1975-03-26,1975,win,1
26 avril 1975,France - Portugal,0-2,Match amical,Portugal,0,2,NA,NA,1975-04-26,1975,loss,2
25 mai 1975,Islande - France,0-0,Qualifications pour l'Euro 1976,Islande,0,0,NA,NA,1975-05-25,1975,draw,3
3 septembre 1975,France - Islande,3-0,Qualifications pour l'Euro 1976,Islande,3,0,NA,NA,1975-09-03,1975,win,4
10 octobre 1975,RDA - France,2-1,Qualifications pour l'Euro 1976,RDA,1,2,NA,NA,1975-10-10,1975,loss,5
15 novembre 1975,France - Belgique,0-0,Qualifications pour l'Euro 1976,Belgique,0,0,NA,NA,1975-11-15,1975,draw,6
27 mars 1976,France - Tchécoslovaquie,2-2,Match amical,Tchécoslovaquie,2,2,NA,NA,1976-03-27,1976,draw,1
24 avril 1976,France - Pologne,2-0,Match amical,Pologne,2,0,NA,NA,1976-04-24,1976,win,2
22 mai 1976,Hongrie - France,1-0,Match amical,Hongrie,0,1,NA,NA,1976-05-22,1976,loss,3
1er septembre 1976,Danemark - France,1-1,Match amical,Danemark,1,1,NA,NA,1976-09-01,1976,draw,4
9 octobre 1976,Bulgarie - France,2-2,Qualifications pour la Coupe du monde 1978,Bulgarie,2,2,NA,NA,1976-10-09,1976,draw,5
17 novembre 1976,France - Irlande,2-0,Qualifications pour la Coupe du monde 1978,Irlande,2,0,NA,NA,1976-11-17,1976,win,6
23 février 1977,France - RFA,1-0,Match amical,RFA,1,0,NA,NA,1977-02-23,1977,win,1
30 mars 1977,Irlande - France,1-0,Qualifications pour la Coupe du monde 1978,Irlande,0,1,NA,NA,1977-03-30,1977,loss,2
23 avril 1977,Suisse - France,0-4,Match amical,Suisse,4,0,NA,NA,1977-04-23,1977,win,3
26 juin 1977,Argentine - France,0-0,Match amical,Argentine,0,0,NA,NA,1977-06-26,1977,draw,4
30 juin 1977,Brésil - France,2-2,Match amical,Brésil,2,2,NA,NA,1977-06-30,1977,draw,5
8 octobre 1977,France - URSS,0-0,Match amical,URSS,0,0,NA,NA,1977-10-08,1977,draw,6
16 novembre 1977,France - Bulgarie,3-1,Qualifications pour la Coupe du monde 1978,Bulgarie,3,1,NA,NA,1977-11-16,1977,win,7
8 février 1978,Italie - France,2-2,Match amical,Italie,2,2,NA,NA,1978-02-08,1978,draw,1
8 mars 1978,France - Portugal,2-0,Match amical,Portugal,2,0,NA,NA,1978-03-08,1978,win,2
1er avril 1978,France - Brésil,1-0,Match amical,Brésil,1,0,NA,NA,1978-04-01,1978,win,3
11 mai 1978,France - Iran,2-1,Match amical,Iran,2,1,NA,NA,1978-05-11,1978,win,4
19 mai 1978,France - Tunisie,2-0,Match amical,Tunisie,2,0,NA,NA,1978-05-19,1978,win,5
2 juin 1978,Italie - France,2-1,Coupe du monde 1978 (Groupe 1),Italie,1,2,NA,NA,1978-06-02,1978,loss,6
6 juin 1978,Argentine - France,2-1,Coupe du monde 1978 (Groupe 1),Argentine,1,2,NA,NA,1978-06-06,1978,loss,7
10 juin 1978,France - Hongrie,3-1,Coupe du monde 1978 (Groupe 1),Hongrie,3,1,NA,NA,1978-06-10,1978,win,8
1er septembre 1978,France - Suède,2-2,Qualifications pour l'Euro 1980,Suède,2,2,NA,NA,1978-09-01,1978,draw,9
7 octobre 1978,Luxembourg - France,1-3,Qualifications pour l'Euro 1980,Luxembourg,3,1,NA,NA,1978-10-07,1978,win,10
8 novembre 1978,France - Espagne,1-0,Match amical,Espagne,1,0,NA,NA,1978-11-08,1978,win,11
25 février 1979,France - Luxembourg,3-0,Qualifications pour l'Euro 1980,Luxembourg,3,0,NA,NA,1979-02-25,1979,win,1
4 avril 1979,Tchécoslovaquie - France,2-0,Qualifications pour l'Euro 1980,Tchécoslovaquie,0,2,NA,NA,1979-04-04,1979,loss,2
2 mai 1979,États-Unis - France,0-6,Match amical,États-Unis,6,0,NA,NA,1979-05-02,1979,win,3
5 septembre 1979,Suède - France,1-3,Qualifications pour l'Euro 1980,Suède,3,1,NA,NA,1979-09-05,1979,win,4
10 octobre 1979,France - États-Unis,3-0,Match amical,États-Unis,3,0,NA,NA,1979-10-10,1979,win,5
17 novembre 1979,France - Tchécoslovaquie,2-1,Qualifications pour l'Euro 1980,Tchécoslovaquie,2,1,NA,NA,1979-11-17,1979,win,6
27 février 1980,France - Grèce,5-1,Match amical,Grèce,5,1,NA,NA,1980-02-27,1980,win,1
26 mars 1980,France - Pays-Bas,0-0,Match amical,Pays-Bas,0,0,NA,NA,1980-03-26,1980,draw,2
23 mai 1980,URSS- France,1-0,Match amical,URSS- France,0,1,NA,NA,1980-05-23,1980,loss,3
11 octobre 1980,Chypre - France,0-7,Qualifications pour la Coupe du monde 1982,Chypre,7,0,NA,NA,1980-10-11,1980,win,4
28 octobre 1980,France - Irlande,2-0,Qualifications pour la Coupe du monde 1982,Irlande,2,0,NA,NA,1980-10-28,1980,win,5
19 novembre 1980,RFA - France,4-1,Match amical,RFA,1,4,NA,NA,1980-11-19,1980,loss,6
18 février 1981,Espagne - France,1-0,Match amical,Espagne,0,1,NA,NA,1981-02-18,1981,loss,1
25 mars 1981,Pays-Bas - France,1-0,Qualifications pour la Coupe du monde 1982,Pays-Bas,0,1,NA,NA,1981-03-25,1981,loss,2
29 avril 1981,France - Belgique,3-2,Qualifications pour la Coupe du monde 1982,Belgique,3,2,NA,NA,1981-04-29,1981,win,3
15 mai 1981,France - Brésil,1-3,Match amical,Brésil,1,3,NA,NA,1981-05-15,1981,loss,4
9 septembre 1981,Belgique - France,2-0,Qualifications pour la Coupe du monde 1982,Belgique,0,2,NA,NA,1981-09-09,1981,loss,5
14 octobre 1981,Irlande - France,3-2,Qualifications pour la Coupe du monde 1982,Irlande,2,3,NA,NA,1981-10-14,1981,loss,6
18 novembre 1981,France - Pays-Bas,2-0,Qualifications pour la Coupe du monde 1982,Pays-Bas,2,0,NA,NA,1981-11-18,1981,win,7
5 décembre 1981,France - Chypre,4-0,Qualifications pour la Coupe du monde 1982,Chypre,4,0,NA,NA,1981-12-05,1981,win,8
23 février 1982,France - Italie,2-0,Match amical,Italie,2,0,NA,NA,1982-02-23,1982,win,1
24 mars 1982,France - Irlande du Nord,4-0,Match amical,Irlande du Nord,4,0,NA,NA,1982-03-24,1982,win,2
28 avril 1982,France - Pérou,0-1,Match amical,Pérou,0,1,NA,NA,1982-04-28,1982,loss,3
15 mai 1982,France - Bulgarie,0-0,Match amical,Bulgarie,0,0,NA,NA,1982-05-15,1982,draw,4
2 juin 1982,France - Pays de Galles,0-1,Match amical,Pays de Galles,0,1,NA,NA,1982-06-02,1982,loss,5
16 juin 1982,Angleterre - France,3-1,Coupe du monde 1982 (Groupe 4),Angleterre,1,3,NA,NA,1982-06-16,1982,loss,6
21 juin 1982,France - Koweït,4-1,Coupe du monde 1982 (Groupe 4),Koweït,4,1,NA,NA,1982-06-21,1982,win,7
24 juin 1982,France - Tchécoslovaquie,1-1,Coupe du monde 1982 (Groupe 4),Tchécoslovaquie,1,1,NA,NA,1982-06-24,1982,draw,8
28 juin 1982,France - Autriche,1-0,Coupe du monde 1982 (Groupe 4 - Second tour),Autriche,1,0,NA,NA,1982-06-28,1982,win,9
4 juillet 1982,France - Irlande du Nord,4-1,Coupe du monde 1982 (Groupe 4 - Second tour),Irlande du Nord,4,1,NA,NA,1982-07-04,1982,win,10
8 juillet 1982,RFA - France [6],3-3 ap(5-4) tab,Coupe du monde 1982 (Demi-finale),RFA,3,3,4,5,1982-07-08,1982,draw,11
10 juillet 1982,Pologne - France,3-2,Coupe du monde 1982 (Petite finale),Pologne,2,3,NA,NA,1982-07-10,1982,loss,12
31 août 1982,France - Pologne,0-4,Match amical,Pologne,0,4,NA,NA,1982-08-31,1982,loss,13
6 octobre 1982,France - Hongrie,1-0,Match amical,Hongrie,1,0,NA,NA,1982-10-06,1982,win,14
10 novembre 1982,Pays-Bas - France,1-2,Match amical,Pays-Bas,2,1,NA,NA,1982-11-10,1982,win,15
16 février 1983,Portugal - France,0-3,Match amical,Portugal,3,0,NA,NA,1983-02-16,1983,win,1
23 mars 1983,France - URSS,1-1,Match amical,URSS,1,1,NA,NA,1983-03-23,1983,draw,2
23 avril 1983,France - Yougoslavie,4-0,Match amical,Yougoslavie,4,0,NA,NA,1983-04-23,1983,win,3
31 mai 1983,Belgique - France[29],1-1,Match amical,Belgique,1,1,NA,NA,1983-05-31,1983,draw,4
7 septembre 1983,Danemark - France,3-1,Match amical,Danemark,1,3,NA,NA,1983-09-07,1983,loss,5
5 octobre 1983,France - Espagne,1-1,Match amical,Espagne,1,1,NA,NA,1983-10-05,1983,draw,6
12 novembre 1983,Yougoslavie - France,0-0,Match amical,Yougoslavie,0,0,NA,NA,1983-11-12,1983,draw,7
29 février 1984,France - Angleterre,2-0,Match amical,Angleterre,2,0,NA,NA,1984-02-29,1984,win,1
28 mars 1984,France - Autriche,1-0,Match amical,Autriche,1,0,NA,NA,1984-03-28,1984,win,2
18 avril 1984,France - RFA,1-0,Match amical,RFA,1,0,NA,NA,1984-04-18,1984,win,3
1er juin 1984,France - Écosse,2-0,Match amical,Écosse,2,0,NA,NA,1984-06-01,1984,win,4
12 juin 1984,France - Danemark,1-0,Euro 1984 (Groupe A),Danemark,1,0,NA,NA,1984-06-12,1984,win,5
16 juin 1984,France - Belgique,5-0,Euro 1984 (Groupe A),Belgique,5,0,NA,NA,1984-06-16,1984,win,6
19 juin 1984,France - Yougoslavie,3-2,Euro 1984 (Groupe A),Yougoslavie,3,2,NA,NA,1984-06-19,1984,win,7
23 juin 1984,France - Portugal,3-2 ap,Euro 1984 (Demi-finale),Portugal,3,2,NA,NA,1984-06-23,1984,win,8
27 juin 1984,France - Espagne,2-0,Euro 1984 (Finale),Espagne,2,0,NA,NA,1984-06-27,1984,win,9
13 octobre 1984,Luxembourg - France,0-4,Qualifications pour la Coupe du monde 1986,Luxembourg,4,0,NA,NA,1984-10-13,1984,win,10
21 novembre 1984,France - Bulgarie,1-0,Qualifications pour la Coupe du monde 1986,Bulgarie,1,0,NA,NA,1984-11-21,1984,win,11
8 décembre 1984,France - RDA,2-0,Qualifications pour la Coupe du monde 1986,RDA,2,0,NA,NA,1984-12-08,1984,win,12
3 avril 1985,Yougoslavie - France,0-0,Qualifications pour la Coupe du monde 1986,Yougoslavie,0,0,NA,NA,1985-04-03,1985,draw,1
2 mai 1985,Bulgarie - France,2-0,Qualifications pour la Coupe du monde 1986,Bulgarie,0,2,NA,NA,1985-05-02,1985,loss,2
21 août 1985,France - Uruguay,2-0,Coupe intercontinentale 1985,Uruguay,2,0,NA,NA,1985-08-21,1985,win,3
11 septembre 1985,RDA - France,2-0,Qualifications pour la Coupe du monde 1986,RDA,0,2,NA,NA,1985-09-11,1985,loss,4
30 octobre 1985,France - Luxembourg,6-0,Qualifications pour la Coupe du monde 1986,Luxembourg,6,0,NA,NA,1985-10-30,1985,win,5
16 novembre 1985,France - Yougoslavie,2-0,Qualifications pour la Coupe du monde 1986,Yougoslavie,2,0,NA,NA,1985-11-16,1985,win,6
26 février 1986,France - Irlande du Nord,0-0,Match amical,Irlande du Nord,0,0,NA,NA,1986-02-26,1986,draw,1
26 mars 1986,France - Argentine,2-0,Match amical,Argentine,2,0,NA,NA,1986-03-26,1986,win,2
1er juin 1986,France - Canada,1-0,Coupe du monde 1986 (Groupe C),Canada,1,0,NA,NA,1986-06-01,1986,win,3
5 juin 1986,France - URSS,1-1,Coupe du monde 1986 (Groupe C),URSS,1,1,NA,NA,1986-06-05,1986,draw,4
9 juin 1986,France - Hongrie,3-0,Coupe du monde 1986 (Groupe C),Hongrie,3,0,NA,NA,1986-06-09,1986,win,5
17 juin 1986,France - Italie,2-0,Coupe du monde 1986 (Huitième de finale),Italie,2,0,NA,NA,1986-06-17,1986,win,6
21 juin 1986,Brésil - France,1-1 ap(3-4) tab,Coupe du monde 1986 (Quart de finale),Brésil,1,1,4,3,1986-06-21,1986,draw,7
25 juin 1986,France - RFA,0-2,Coupe du monde 1986 (Demi-finale),RFA,0,2,NA,NA,1986-06-25,1986,loss,8
28 juin 1986,France - Belgique,4-2,Coupe du monde 1986 (Petite finale),Belgique,4,2,NA,NA,1986-06-28,1986,win,9
19 août 1986,Suisse - France,2-0,Match amical,Suisse,0,2,NA,NA,1986-08-19,1986,loss,10
10 septembre 1986,Islande - France,0-0,Qualifications pour l'Euro 1988,Islande,0,0,NA,NA,1986-09-10,1986,draw,11
11 octobre 1986,France - URSS,0-2,Qualifications pour l'Euro 1988,URSS,0,2,NA,NA,1986-10-11,1986,loss,12
19 novembre 1986,RDA - France,0-0,Qualifications pour l'Euro 1988,RDA,0,0,NA,NA,1986-11-19,1986,draw,13
29 avril 1987,France - Islande,2-0,Qualifications pour l'Euro 1988,Islande,2,0,NA,NA,1987-04-29,1987,win,1
16 juin 1987,Norvège - France,2-0,Qualifications pour l'Euro 1988,Norvège,0,2,NA,NA,1987-06-16,1987,loss,2
12 août 1987,RFA - France,2-1,Match amical,RFA,1,2,NA,NA,1987-08-12,1987,loss,3
9 septembre 1987,URSS - France,1-1,Qualifications pour l'Euro 1988,URSS,1,1,NA,NA,1987-09-09,1987,draw,4
14 octobre 1987,France - Norvège,1-1,Qualifications pour l'Euro 1988,Norvège,1,1,NA,NA,1987-10-14,1987,draw,5
18 novembre 1987,France - RDA,0-1,Qualifications pour l'Euro 1988,RDA,0,1,NA,NA,1987-11-18,1987,loss,6
27 janvier 1988,Israël - France,1-1,Match amical,Israël,1,1,NA,NA,1988-01-27,1988,draw,1
